機種名,メーカー,導入月,号機,タイプ
新世紀エヴァンゲリオン,ビスティ,2005年09月,5号機,RT
日本一の桃太郎CT5,ベルコ,2005年10月,5号機,ノーマル
日本一の桃太郎CT30,ベルコ,2005年12月,5号機,ノーマル、30Φ
サクラ大戦,エレコ,2005年10月,5号機,ノーマル
デビルマン「2005年」,エレコ,2005年10月,5号機,RT
ど根性ガエルS,ロデオ,2005年12月,5号機,RT
出ましたハクション大魔王,サミー,2005年11月,5号機,RT
美麗2,バルテック,2006年01月,5号機,ノーマル
はいさい潮姫,エレコ,2005年12月,5号機,ノーマル
信長の野望・天下創世R「2005年」,IGTジャパン,2005年12月,5号機,ノーマル
クラッシュバンディクーS,サミー,2006年02月,5号機,ノーマル
人造人間キカイダーK,平和,2006年02月,5号機,RT
平成カツヲ伝説,ヤーマ,2006年02月,5号機,ノーマル
ニューオアシス,パイオニア,2006年02月,5号機,ノーマル
キューティーハニー,エレコ,2006年02月,5号機,RT
ナースウィッチ小麦ちゃんマジカルて,JPS,2006年02月,5号機,RT
ゴルゴ13ザプロフェッショナル,平和,2006年03月,5号機,AT
ビーバップ,エレコ,2006年02月,5号機,RT
スーパーお父さん,SNKプレイモア,2006年04月,5号機,RT
ロックユークイーン,エレコ,2006年04月,5号機,RT
剣豪!武蔵,エレコ,2006年03月,5号機,RT
ボンバーマンビクトリー,サミー,2006年04月,5号機,RT
ウイニングレッド30,JPS,2006年04月,5号機,ノーマル、30Φ
ウイニングレッド,JPS,2006年04月,5号機,ノーマル
お庭deドン!,バルテック,2006年04月,5号機,RT
ゴールドシオ30,パイオニア,2006年05月,5号機,ノーマル、30Φ
ルーニー・テューンズ:バック・イン・アクション,オリンピア,2006年05月,5号機,RT
サンダーバードNEO,藤商事,2006年06月,5号機,RT
ザ・キング・オブ・ファイターズ,SNKプレイモア,2006年05月,5号機,RT
ロード・オブ・ザ・リング,ビスティ,2006年06月,5号機,ノーマル
ちゅら姫SUN,エレコ,2006年06月,5号機,ノーマル
大江戸漫遊記,ファースト,2006年07月,5号機,ノーマル
新造人間キャシャーン,JPS,2006年07月,5号機,AT、RT
花盛,SNKプレイモア,2006年07月,5号機,RT
じゃりン子チエ,バルテック,2006年07月,5号機,RT
電撃フランケン,エレコ,2006年07月,5号機,RT
ランブルローズ,KPE,2006年08月,5号機,ノーマル
クランキーコンドルX,エレコ,2006年08月,5号機,RT
逮捕しちゃうぞ,IGTジャパン,2006年08月,5号機,RT
球児,SNKプレイモア,2006年09月,5号機,RT
ブリチカ30,パイオニア,2006年09月,5号機,RT、30Φ
南国娘「2006年」,オリンピア,2006年09月,5号機,RT
竹中直人のパチスロ太閤記,ラスター,2006年09月,5号機,RT
大山鳴動漢みちスロ!,ラスター,2006年09月,5号機,RT
快盗天使ツインエンジェル,トリビー,2006年10月,5号機,RT
スロ原人,アビリット,2006年10月,5号機,RT
CSスロ原人,アビリット,2006年10月,5号機,RT
らくちん沖姫,エレコ,2006年09月,5号機,ノーマル
ホークIII30,JPS,2006年10月,5号機,RT、30Φ
ホークIII,JPS,2006年10月,5号機,RT
スパイダーマン2,サミー,2006年10月,5号機,RT
格闘激戦区,エレコ,2006年10月,5号機,RT
ジャックポット・トロピカルバージョン「2006年」,岡崎産業,2006年11月,5号機,ノーマル
バーグラー,メーシー,2006年10月,5号機,ノーマル
餓狼伝説,SNKプレイモア,2006年11月,5号機,AT
ジャックと豆の木,ヤーマ,2006年11月,5号機,ART
小野真弓のかわいい日本昔話,オーイズミ,2006年11月,5号機,ノーマル
怪胴王,アリストクラートテクノロジーズ,2006年11月,5号機,AT、ART、RT
南国娘30「2006年」,オリンピア,2006年10月,5号機,RT、30Φ
リンダの狙いうち,IGTジャパン,2006年12月,5号機,RT
サンダーVスペシャル,エレコ,2006年11月,5号機,RT
めぞん一刻,オリンピア,2006年11月,5号機,RT
美川さそり座のサラリーマン,オーイズミ,2006年11月,5号機,RT
ロッキー・バルボアG,ビスティ,2006年11月,5号機,RT
バトルリーガーX,SANKYO,2007年01月,5号機,RT
コミックワールド沖,バルテック,2006年12月,5号機,AT
アイムジャグラーEX「2007年」,北電子,2007年01月,5号機,ノーマル
モエるまりんバトる,エレコ,2006年12月,5号機,RT
ドカベン「2006年」,ロデオ,2006年12月,5号機,ノーマル
PS行くぜ大工の源さんVD,三洋物産,2007年01月,5号機,RT
アクアビーナス,平和,2006年12月,5号機,ノーマル
嗚呼!我ら日本松柔道部,ラスター,2007年01月,5号機,RT
サクスロ,ラスター,2007年01月,5号機,RT
ビジトジ,銀座,2007年01月,5号機,ノーマル
ぐるぐる爆侍,JPS,2007年01月,5号機,RT
新日本プロレスまでもがパチスロ機,平和,2007年01月,5号機,RT
南国美人,オリンピア,2007年01月,5号機,RT
南国美人30,オリンピア,2007年01月,5号機,RT、30Φ
マリーンギャング,パイオニア,2007年01月,5号機,ノーマル
ジャンジャン年中猛特訓,SNKプレイモア,2007年01月,5号機,RT
スカイラブ「2007年」,SNKプレイモア,2007年02月,5号機,RT
プレイボーイ,山佐,2007年02月,5号機,RT
プレイボーイ30,山佐,2007年02月,5号機,ノーマル、30Φ
ニューハナハナ30,パイオニア,2007年02月,5号機,ノーマル、30Φ
空手バカ一代,オリンピア,2007年01月,5号機,RT
スロット花満開AR1,西陣,2007年03月,5号機,RT
科学忍者隊ガッチャマン,タイヨー,2007年02月,5号機,AT、RT
PIKASLO,ヤーマ,2007年02月,5号機,ノーマル
仮面ライダーDX走れ!スーパーバイク編,サミー,2007年02月,5号機,RT
TIMという名のパチスロ機,平和,2007年02月,5号機,RT
リオパラダイス,ネット,2007年03月,5号機,AT
PSアドリブ王子,三洋物産,2007年02月,5号機,ノーマル
パチスロ鉄拳伝タフ,オーイズミ,2007年02月,5号機,RT
パチスロあっぱれ応援団,藤商事,2007年03月,5号機,RT
リングにかけろ,銀座,2007年03月,5号機,RT
トレジャーパイレーツ,KPE,2007年02月,5号機,RT
ガオガオフェスティバルS,SANKYO,2007年03月,5号機,ノーマル
トレジャーパイレーツ,KPE,2007年03月,5号機,RT
マリンフラッシュ30,アビリット,2007年04月,5号機,ノーマル、30Φ
スロットチャンネルT.V.,アビリット,2007年04月,5号機,RT
機動警察パトレイバー「2007年」,アビリット,2007年05月,5号機,RT
GTO,ビスティ,2007年03月,5号機,ノーマル
ミスターキャッシュマン,アリストクラートテクノロジーズ,2007年03月,5号機,ノーマル
魁!男塾,ロデオ,2007年03月,5号機,ノーマル
お江戸大捜査線,タイヨーエレック,2007年03月,5号機,RT
プレミアムダイナマイト,ロデオ,2007年03月,5号機,ノーマル
わんぱくパイロット大冒険,岡崎産業,2007年03月,5号機,RT
バトルシーザーXXX,ミズホ,2007年03月,5号機,RT
名探偵ホームズ,ビスティ,2007年03月,5号機,RT
ヤッターマン只今参上,平和,2007年03月,5号機,RT
ランボー怒りのパチスロ,オリンピア,2007年03月,5号機,RT
安田大サーカス,バルテック,2007年03月,5号機,RT
ダイナマイトマン,JPS,2007年03月,5号機,ART
革命戦士長州力,トリビー,2007年03月,5号機,ノーマル
ワイルド7,ラスター,2007年03月,5号機,ノーマル
ダンス☆マン,アリストクラートテクノロジーズ,2007年04月,5号機,ART
ゴジラ,サミー,2007年03月,5号機,RT
ミスターマジックネオ,サミー,2007年03月,5号機,ノーマル
アイムジャグラー7,北電子,2007年03月,5号機,ノーマル
スーパーボム,SNKプレイモア,2007年04月,5号機,RT
熊酒場,ネット,2007年04月,5号機,ノーマル
やっぱりいいネ!,エレコ,2007年03月,5号機,RT
ヤッタネハルミチャン,ヤーマ,2007年04月,5号機,ART
ヤッタネハルミチャン2,ヤーマ,2007年04月,5号機,RT
ヤッタネハルミチャン4,ヤーマ,2007年04月,5号機,RT
ヤッタネハルミチャン30,ヤーマ,2007年05月,5号機,RT
ピカゴロウV,山佐,2007年03月,5号機,ノーマル
三國志,IGTジャパン,2007年05月,5号機,RT
アストロ球団,JPS,2007年05月,5号機,AT、ART、RT
シェイクII,大都技研,2007年06月,5号機,ノーマル
三国争覇伝,ラスター,2007年06月,5号機,RT
うる星やつら「2007年」,銀座,2007年05月,5号機,ノーマル
OFF SHORE,ニュー・モンキー,2007年04月,5号機,ノーマル
アントニオ猪木も燃えるパチスロ機,平和,2007年05月,5号機,RT
ドキドキあかずきん,SNKプレイモア,2007年06月,5号機,ノーマル
サムライスピリッツ外伝チャムチャム,SNKプレイモア,2007年07月,5号機,RT
ザ・キング・オブ・ファイターズ2,SNKプレイモア,2007年05月,5号機,RT
バーニングフラワー25,岡崎産業,2007年05月,5号機,RT
バーニングフラワー30,岡崎産業,2007年05月,5号機,RT、30Φ
ハーレムエース「2007年」,ネット,2007年05月,5号機,ノーマル
けものっち!,サミー,2007年05月,5号機,ノーマル
ディスクアップオルタナティブ,サミー,2007年05月,5号機,RT
常夏アロハ,オーイズミ,2007年05月,5号機,ノーマル
トリプルクラウン30,清龍ゲームジャパン,2007年05月,5号機,ノーマル、30Φ
シオラー30VII,パイオニア,2007年04月,5号機,ノーマル
侍ジャイアンツ,ニューギン,2007年06月,5号機,RT
パチスロ ブルース・リー,藤商事,2007年06月,5号機,RT
スター・ウォーズR,SANKYO,2007年06月,5号機,ノーマル
楽シーサーR,SANKYO,2007年06月,5号機,ノーマル
青ドン,ミズホ,2007年06月,5号機,RT
ジャックポットトロピカルバージョン30,岡崎産業,2007年05月,5号機,ノーマル
パチスロ女ねずみ小僧,KPE,2007年06月,5号機,AT、ART
モーニング娘。,ビスティ,2007年06月,5号機,RT
デビル メイ クライ3,ロデオ,2007年06月,5号機,RT
Dooms Day,ファースト,2007年06月,5号機,ノーマル
SASHIBA,トリビー,2007年05月,5号機,RT、30Φ
新世紀エヴァンゲリオン～まごころを、君に～,ビスティ,2007年07月,5号機,RT
ズーマニア,アリストクラートテクノロジーズ,2007年06月,5号機,RT
デジタル所さん,Daiichi,2007年06月,5号機,RT
氷川きよし劇場,バルテック,2007年07月,5号機,ノーマル
電撃ネットワーク,トリビー,2007年07月,5号機,ノーマル
カリビアンクイーン,ネット,2007年07月,5号機,AT
スロット花満開サクラ吹雪タイプ,西陣,2007年06月,5号機,RT
幻獣覇王,IGTジャパン,2007年07月,5号機,RT
華櫻,エマ,2007年06月,5号機,RT
華櫻30,エマ,2007年06月,5号機,ノーマル、30Φ
マリンフラッシュ,アビリット,2007年06月,5号機,ノーマル
機動警察パトレイバーX「2007年」,アビリット,2007年05月,5号機,RT
日本ブレイク工業,平和,2007年07月,5号機,RT
アクアビーナス30,平和,2007年05月,5号機,ノーマル、30Φ
ナチユリ,ニューギン,2007年07月,5号機,ノーマル
BunBunMaru-R,平和,2007年07月,5号機,ノーマル
BunBunMaru-L,平和,2007年07月,5号機,ノーマル
グレートエンペラー,遊人,2007年06月,5号機,ノーマル
ラーメン王,オーイズミ,2007年07月,5号機,RT
力道山,サミー,2007年06月,5号機,RT
仮面ライダーDX回れ!変身ベルト編,サミー,2007年06月,5号機,RT
パチスロ マーベルヒーローズ,タイヨーエレック,2007年07月,5号機,ART、RT
ハワイっ娘,IGTジャパン,2007年07月,5号機,ノーマル
ハワイ,ネット,2007年07月,5号機,ノーマル
マジカルハロウィン,KPE,2007年07月,5号機,ART、RT
夜勤病棟「2007年」,イレブン,2007年06月,5号機,RT
2027「2007年」,JPS,2007年07月,5号機,ART
ラブリーチェリー,エレコ,2007年06月,5号機,RT
スーパーキューティーハニー,エレコ,2007年06月,5号機,RT
ニューパルサーV,山佐,2007年06月,5号機,ノーマル
ファンシーポリス,岡崎産業,2007年07月,5号機,RT
桜姫,ラスター,2007年07月,5号機,RT
漁師・網平,アビリット,2008年09月,5号機,ノーマル
快傑ハリマオ,オリンピア,2007年07月,5号機,RT
俺の名はルパン三世,平和,2007年07月,5号機,RT
がんばれ元気,ヤーマ,2007年07月,5号機,AT、ART
バックトゥザフューチャーα,タイヨー,2007年07月,5号機,ノーマル
ラブリージャグラーA,北電子,2007年07月,5号機,ノーマル
ジャンジャン飯店,コルモ,2007年07月,5号機,RT
ゲッターマウス7R,アルゼ,2007年07月,5号機,RT
学習パチスロ国語,遊人,2007年08月,5号機,ノーマル
卑弥呼伝説R,パレス興業,2007年07月,5号機,RT
パタリロ,アビリット,2007年08月,5号機,RT
めんそーれ2-30,エマ,2007年09月,5号機,RT、30Φ
パチスロ北斗の拳2乱世覇王伝天覇の章,サミー,2007年07月,5号機,RT
セブンボンバーA,バルテック,2007年08月,5号機,ノーマル
ミスターマリック3,ベルコ,2007年08月,5号機,ART
しぇんしぇーのスロットマシーン30,トリビー,2007年08月,5号機,RT、30Φ
パチスロ戦国無双「2007年」,山佐,2007年08月,5号機,ART、RT
信長の野望天下創世第二の刻「2007年」,IGTジャパン,2007年08月,5号機,ノーマル
ハワイ30,ネット,2007年09月,5号機,ノーマル、30Φ
熊酒場30,ネット,2007年09月,5号機,ノーマル、30Φ
ハイサイネオ,トロージャン,2007年09月,5号機,ノーマル
シスタークエスト「2007年」,SNKプレイモア,2007年08月,5号機,RT
ストップ!!ひばりくん!,SANKYO,2007年09月,5号機,RT
KODA KUMI PACHISLOT LIVE IN HALL,SANKYO,2007年09月,5号機,RT
学習パチスロ算数,遊人,2007年09月,5号機,ノーマル
ザ・ドゥーナッツのトンdeピース,ラスター,2007年09月,5号機,RT
ぱちすろおり姫は告知がお好き,銀座,2007年09月,5号機,ノーマル
クレイジージョーカー,清龍ゲームジャパン,2007年09月,5号機,ノーマル
恐怖新聞「2007年」,アリストクラートテクノロジーズ,2007年09月,5号機,ART
ビーキッズクラブR,オリンピア,2007年09月,5号機,ノーマル
THEGOLF,ファースト,2007年08月,5号機,ノーマル、30Φ
サザンドリーム,ネイチャー・アセスメント,2007年09月,5号機,ノーマル
戦慄,エール,2007年09月,5号機,ノーマル
時空大作戦,岡崎産業,2007年09月,5号機,AT、ART
西部警察,ニューギン,2007年09月,5号機,RT
ビッグハイビ-30,パイオニア,2007年09月,5号機,ノーマル、30Φ
ツインビー,KPE,2007年09月,5号機,RT
ちょいスゴ!!アリババインファンタジア,エレコ,2007年09月,5号機,RT
ドリスタ-ミントのヒロイン救出大作戦-,ネット,2007年09月,5号機,ART
春夏秋冬,西陣,2007年09月,5号機,RT
エリア88,イレブン,2007年09月,5号機,RT
コータローまかりとおる!,IGTジャパン,2007年09月,5号機,ART
ナチユリ-30,ニューギン,2007年10月,5号機,ノーマル、30Φ
DECOICHI,タイヨー,2007年09月,5号機,ノーマル
DIGIParadise,デージー,2007年09月,5号機,ノーマル
せみ,オルカ,2007年08月,5号機,ノーマル
バリバリ伝説,平和,2007年09月,5号機,RT
男気!祭野郎,藤興,2007年09月,5号機,ART、RT
マスクオブゾロ,ロデオ,2007年09月,5号機,ノーマル
くりぃむしちゅー,ロデオ,2007年09月,5号機,ノーマル
沖伝説-30,トロージャン,2007年08月,5号機,ノーマル、30Φ
トリプルクラウンS2-30,清龍ゲームジャパン,2007年10月,5号機,ノーマル、30Φ
元祖ハネスロ,オーイズミ,2007年10月,5号機,ノーマル
マッドジー,SNKプレイモア,2007年10月,5号機,ART
パチスロ湘南爆走族,Daiichi,2007年10月,5号機,RT
パチスロ「機動戦士ガンダムII~哀・戦士編~」,山佐,2007年11月,5号機,RT
マジックモンスター2,オリンピア,2007年10月,5号機,RT
超お父さん2,SNKプレイモア,2007年11月,5号機,RT
哲也～雀聖と呼ばれた男～,アリストクラートテクノロジーズ,2007年11月,5号機,ART、RT
南国姉妹-30,アスワン東京,2007年10月,5号機,RT、30Φ
パチってスロット,スパイキー,2007年11月,5号機,ノーマル
NEO花物語,オーイズミ,2007年11月,5号機,RT
スーパービンゴV,ベルコ,2007年11月,5号機,AT、ART
ぴかっとシーサー,デンケン販売,2007年12月,5号機,ノーマル
ビーチクラブ,ビスティ,2007年11月,5号機,RT
華一番,パイオニア,2007年11月,5号機,ノーマル
華一番30,パイオニア,2007年11月,5号機,ノーマル、30Φ
パチスロシティーハンター「2007年」,銀座,2007年11月,5号機,RT
サンバ×サンバ,KPE,2007年12月,5号機,ART、RT
バーチャファイターT,ロデオ,2007年12月,5号機,RT
赤ドン,ミズホ,2007年11月,5号機,ART
CANスロ,オルカ,2007年11月,5号機,ノーマル
ダイナマイトリターンズ,IGTジャパン,2007年12月,5号機,ノーマル
バミューダ,ネイチャー・アセスメント,2007年12月,5号機,ノーマル
ファイアーヒーローS,アトム,2007年11月,5号機,RT
名門!夢色学園生徒会,オーイズミ,2007年12月,5号機,RT
ハナマル!学園奮闘記!,コナミアミューズメント,2007年12月,5号機,ART
学習パチスロ理科,遊人,2007年12月,5号機,ノーマル
伝説の巫女,タイヨーエレック,2008年01月,5号機,RT
インディ・ジョーンズS,SANKYO,2008年01月,5号機,RT
銀河鉄道物語,SANKYO,2008年01月,5号機,RT
餓狼伝説スペシャル,SNKプレイモア,2008年01月,5号機,AT、ART
爆音伝説サクラ,KPE,2008年08月,5号機,RT
まぁさん,ラスター,2007年12月,5号機,ノーマル
新・吉宗,大都技研,2008年01月,5号機,RT
バーチャファイターF,ロデオ,2007年12月,5号機,ART
島育ち,オリンピア,2008年01月,5号機,ノーマル
サンタフェスタV,タイヨー,2008年02月,5号機,RT
パンドラ,アリストクラートテクノロジーズ,2007年12月,5号機,ノーマル
マァサン‐30,アルチザン,2007年12月,5号機,ノーマル、30Φ
ウルトラキューティーハニー3,メーシー,2008年01月,5号機,RT
パチスロ「PLAYBOY」LimitedEdition,山佐,2008年02月,5号機,RT
PSコードネームアスカGB,三洋物産,2008年02月,5号機,RT
マッハGoGoGo2,アリストクラートテクノロジーズ,2008年02月,5号機,ART
スターフルーツ30,ニュー・モンキー,2008年03月,5号機,ノーマル、30Φ
カギヤ30,トリビー,2008年02月,5号機,RT、30Φ
2027X「2008年」,JPS,2008年02月,5号機,ART
パチスロ北斗の拳2ネクストゾーン闘,サミー,2008年02月,5号機,RT
めんそーれ2,エマ,2008年01月,5号機,RT
天下無敵!サラリーマン金太郎,ロデオ,2008年02月,5号機,RT
ニューダイナマイトキッズ25,マツヤ商会,2008年02月,5号機,ノーマル
ニューダイナマイトキッズ30,マツヤ商会,2008年02月,5号機,ノーマル、30Φ
中森明菜スロット伝説X,Daiichi,2008年03月,5号機,RT
アニマル浜口のパチスロは気合ダァ,平和,2008年02月,5号機,RT
パチスロ北斗の拳2ネクストゾーン将,サミー,2008年02月,5号機,RT
リーチ目発見!スロガッパ,エレコ,2008年02月,5号機,RT
押忍!!空手部,イレブン,2008年03月,5号機,ART
モンスターセブン,遊人,2009年04月,5号機,RT
皇帝30,遊人,2008年03月,5号機,ノーマル、30Φ
パチスロクローズ,トリビー,2008年04月,5号機,ART
花伝説30,オリンピア,2008年03月,5号機,ノーマル、30Φ
モグモグ風林火山「2008年」,ネット,2008年04月,5号機,RT
ハナダマシイ,パイオニア,2008年02月,5号機,RT
ハナダマシイ-30,パイオニア,2008年02月,5号機,RT、30Φ
パチスロキン肉マン,山佐,2008年03月,5号機,AT、ART、RT
龍神伝,タイヨー,2008年03月,5号機,RT
真・黄門ちゃま,平和,2008年03月,5号機,RT
ジアマゾンロード,ラスター,2008年03月,5号機,ART、RT
パチスロナイトライダー,銀座,2008年04月,5号機,RT
ジゴロ,SNKプレイモア,2008年03月,5号機,AT、ART、RT
ジャンキージャグラー,北電子,2008年04月,5号機,ノーマル
真・三國無双,オリンピア,2008年03月,5号機,RT
がんばれ元気激闘編,ヤーマ,2008年03月,5号機,AT、ART
LOT7,イープレイ,2008年04月,5号機,ノーマル
GALAXYWING,オーイズミ,2008年04月,5号機,RT
お天気お姉さん,バルテック,2008年04月,5号機,RT
デジスロF,ベルコ,2008年04月,5号機,RT
デジスロV-30,ベルコ,2008年04月,5号機,RT、30Φ
月光仮面,北電子,2008年04月,5号機,ノーマル
エイリアン2,アビリット,2008年04月,5号機,RT
潮風25,ニュー・モンキー,2008年05月,5号機,ノーマル
ビートマニア,KPE,2008年04月,5号機,AT、ART
ミュージックボックス五木ひろし,JPS,2008年05月,5号機,ノーマル
クイージ,コルモ,2008年04月,5号機,RT
パワフルアドベンチャー,SANKYO,2008年05月,5号機,AT、ART
めんそーれ2A-30,エマ,2008年05月,5号機,RT、30Φ
特命係長只野仁,ニューギン,2008年05月,5号機,AT、ART
パチスロリッジレーサー,ニイガタ電子精機,2008年05月,5号機,ART
一騎当千,タイヨー,2008年05月,5号機,RT
アレックス7R,アルゼ,2008年04月,5号機,RT
一騎当千A,タイヨー,2008年05月,5号機,RT
神たま,SNKプレイモア,2008年05月,5号機,RT
シートラッド30,岡崎産業,2008年05月,5号機,ノーマル、30Φ
シートラッド,岡崎産業,2008年04月,5号機,ノーマル
熱血硬派くにおくん,タイヨーエレック,2008年05月,5号機,ART
パチスロ格闘美神ウーロン,サミー,2008年05月,5号機,RT
大繁盛本舗2,オーイズミ,2008年05月,5号機,RT
監獄JACK,アリストクラートテクノロジーズ,2008年05月,5号機,RT
ニューパルサーレッド,山佐,2008年05月,5号機,ノーマル
ドキューン,三洋物産,2008年05月,5号機,RT
ニューパルサーエボリューション,山佐,2008年05月,5号機,ノーマル
スーパージャックポット「2008年」,ヤーマ,2008年07月,5号機,RT
ソニックライブ,ロデオ,2008年05月,5号機,RT
キングガッパ,エレコ,2008年05月,5号機,RT
ご～るでんし～さ～,ラスター,2008年07月,5号機,ノーマル、30Φ
パチスロ「バイオハザード」「2008年」,山佐,2008年07月,5号機,AT、ART、RT
沖らぐーん,ブリッジ,2008年05月,5号機,ノーマル、30Φ
ヒミコスタイル,エール,2008年05月,5号機,RT
アルティメットブレイク拳,ミズホ,2008年05月,5号機,RT
ツインモンキー,ニュー・モンキー,2008年07月,5号機,RT
ジャンジャンカーニバル,SNKプレイモア,2008年07月,5号機,ノーマル
パチスロ桃太郎電鉄,サミー,2008年07月,5号機,ノーマル
ファイアーヒーローII,アトム,2008年05月,5号機,RT
潮風30,ニュー・モンキー,2008年07月,5号機,ノーマル、30Φ
MAX448,ラスター,2008年05月,5号機,RT
スーパールーレット,ネイチャー・アセスメント,2008年07月,5号機,ノーマル
ちゅらそ～れ30,エマ,2008年07月,5号機,ノーマル
ちゅらそ～れ25,エマ,2008年07月,5号機,ノーマル
紅三四郎,JPS,2008年07月,5号機,RT
スーパールーレット30,ネイチャー・アセスメント,2008年07月,5号機,ノーマル、30Φ
スロットレッドライオン,西陣,2008年07月,5号機,ノーマル
満開花桜,ビーム,2008年08月,5号機,RT
ミッション・イン・ポッシブー,マツヤ商会,2008年07月,5号機,RT
花浪漫N30,タイヨー,2008年07月,5号機,ノーマル、30Φ
犬キング,コルモ,2008年08月,5号機,RT
スペシャルハナハナ30,パイオニア,2008年07月,5号機,ノーマル、30Φ
海人,トリビー,2008年08月,5号機,ノーマル
メガラニカ,ラスター,2008年08月,5号機,ノーマル
サムライチャンプルー,ニューギン,2008年08月,5号機,RT
爺サマー,大都技研,2008年07月,5号機,ノーマル
シュート!,JPS,2008年08月,5号機,ART、RT
海人30,トリビー,2008年08月,5号機,ノーマル、30Φ
ゲッターロボ「2008年」,エレコ,2008年07月,5号機,RT
マジシャン,ファースト,2008年08月,5号機,ノーマル
アカネ55,ネット,2008年08月,5号機,RT
春麗にまかせチャイナ,エンターライズ,2008年10月,5号機,RT
バチヘビノッチ,アルゼ,2008年08月,5号機,RT
ザ・ブルーハーツ,銀座,2008年08月,5号機,ART
LOT8,イープレイ,2008年09月,5号機,RT
パチスロ信長の野望オンライン「2008年」,IGTジャパン,2008年08月,5号機,RT
チキチキボカン,オーイズミ,2008年09月,5号機,RT
コリアンドラム30,パラジェーピー,2008年07月,5号機,RT、30Φ
コリアンドラムS2-30,パラジェーピー,2008年07月,5号機,ノーマル、30Φ
イルカ夫人,アビリット,2008年09月,5号機,RT
パチスロ24‐TWENTY,大都技研,2008年09月,5号機,RT
パチスロ機動新撰組萌えよ剣,タイヨーエレック,2008年08月,5号機,RT
花浪漫R30,タイヨー,2008年07月,5号機,ノーマル、30Φ
新世紀エヴァンゲリオン～約束の時～,ビスティ,2008年09月,5号機,RT
パチスロ「バウンティキラー」,山佐,2008年10月,5号機,ART
キャッツ・アイ「2008年」,オリンピア,2008年09月,5号機,ART、RT
怒濤の剣,ミズホ,2008年09月,5号機,ART、RT
豊漁,北電子,2008年10月,5号機,ノーマル
天晴招猫,エマ,2008年10月,5号機,RT
アカギ～永続の闘牌～,藤商事,2008年10月,5号機,ART
ナゴスロ金鯱だがね,ニューギン,2008年10月,5号機,RT
逆境ナイン,三洋物産,2008年10月,5号機,RT
パチスロハードボイルド「2008年」,サミー,2008年10月,5号機,ART
タワラカワラ,ラスター,2008年09月,5号機,RT
まつり屋華恋,フォープ,2008年10月,5号機,ART
天地を喰らう,ロデオ,2008年10月,5号機,RT
完熟チェリー,タイヨー,2008年10月,5号機,ノーマル
巨人の星4青春群像編,アリストクラートテクノロジーズ,2008年11月,5号機,ART、RT
星羅はお告げがお好き,銀座,2008年11月,5号機,ノーマル
赤ジャック30,ヤーマ,2008年10月,5号機,ノーマル、30Φ
赤ジャック,ヤーマ,2008年10月,5号機,ノーマル
パチスロクローズ武装戦線,トリビー,2008年10月,5号機,RT
キャプテンシャーク,KPE,2008年11月,5号機,RT
回胴合体ゴーケンオーV,ネット,2008年11月,5号機,ART
鬼火,ニューギン,2008年11月,5号機,RT
シオサイ30,パイオニア,2008年11月,5号機,RT、30Φ
モンキーモンキー,ヤーマ,2008年11月,5号機,ART
ランブルローズXX,KPE,2008年11月,5号機,ART
パンダーゼット,ラスター,2008年11月,5号機,ART
海遊記,ベルコ,2008年07月,5号機,ART
南国育ち「2008年」,オリンピア,2008年10月,5号機,ART
ハネスロナイツ,オーイズミ,2008年11月,5号機,ノーマル
クラッピーパーク,ビーム,2008年11月,5号機,ART、RT
