機種名,メーカー,導入月,号機,タイプ
スロット代紋TAKE2,エレコ,2008年12月,5号機,RT
バックトゥザフューチャーデラックス,ロデオ,2008年11月,5号機,RT
魔界城,岡崎産業,2008年12月,5号機,AT、ART
ハイサイ蝶特急「2008年」,タイヨー,2008年12月,5号機,ART
サイサイ,北電子,2008年11月,5号機,RT
いみそ～れ2ピュアエディション25,エマ,2008年12月,5号機,ノーマル
いみそ～れ2バーニングエディション25,エマ,2008年12月,5号機,RT
いみそ～れ2バーニングエディション30,エマ,2008年12月,5号機,RT、30Φ
鬼浜爆走紅蓮隊,アビリット,2008年12月,5号機,ART
ウルトラマン・ザ・スロット,山佐,2008年12月,5号機,ART
悪魔城ドラキュラ,KPE,2009年01月,5号機,ART
いみそ～れ2ピュアエディション30,エマ,2008年12月,5号機,ノーマル、30Φ
トリプル沖V30,デンケン販売,2008年12月,5号機,ノーマル、30Φ
ぱちスロST行け!稲中卓球部,サミー,2008年12月,5号機,RT
ぱちスロSTゴジラ,サミー,2008年12月,5号機,RT
HAIBいちろう,イープレイ,2008年11月,5号機,RT
シンゾウニンゲン,JPS,2008年12月,5号機,ART
カイジ2,ロデオ,2008年12月,5号機,RT
がんばれ満月姫!,トリビー,2009年01月,5号機,RT
忍魂,大都技研,2009年01月,5号機,ART
パチスロ秘密戦隊ゴレンジャー,SANKYO,2009年01月,5号機,RT
バケーション,ネイチャー・アセスメント,2009年01月,5号機,ノーマル
マキシマムインパクト,SNKプレイモア,2009年01月,5号機,ART
キング・コング,ビスティ,2009年01月,5号機,ART
シャドウハーツII「2008年」,ミズホ,2008年12月,5号機,RT
南国育ち30「2009年」,オリンピア,2009年01月,5号機,ART、30Φ
スペシャルオアシス,パイオニア,2009年01月,5号機,ノーマル
Wキャッツ,ファースト,2009年02月,5号機,ノーマル
甘ぴかっ,オーイズミ,2009年01月,5号機,ART、RT
パチスロ「ケロット」,山佐,2009年01月,5号機,ノーマル
バトルアスリーテス大運動会,ニューギン,2009年02月,5号機,RT
エアマスター,IGTジャパン,2009年02月,5号機,ART
マジカルハロウィンR,KPE,2009年03月,5号機,ART
タコスロ7R,アルゼ,2009年02月,5号機,RT
アイムマジック,パラジェーピー,2009年01月,5号機,ノーマル
スクール☆ウォーズ,銀座,2009年03月,5号機,ART
ラブゲッCHU,岡崎産業,2009年02月,5号機,RT
ダッシュ勝平,オーイズミ,2009年02月,5号機,ART
グレートエンペラーV,遊人,2009年02月,5号機,ノーマル
ドラキュラ,ネット,2009年02月,5号機,ART
宇宙刑事ギャバン,銀座,2009年02月,5号機,ART
JUDOZ,アリストクラートテクノロジーズ,2009年03月,5号機,RT
クラシックジャグラー,北電子,2009年04月,5号機,ノーマル
スーパーリアル麻雀,メーシー,2009年02月,5号機,ART
快盗天使ツインエンジェル2,サミー,2009年03月,5号機,RT
夢花月,山佐,2009年04月,5号機,ART
うまい棒「2009年」,エマ,2009年04月,5号機,RT
スターマンアイズ,SANKO,2009年05月,5号機,ノーマル
プリティ戦記,KPE,2009年04月,5号機,RT
国際サラリーマンとおるくん,KPE,2009年04月,5号機,RT
スカイラブ2～再会の空～,SNKプレイモア,2009年03月,5号機,RT
がんばれゴエモン,KPE,2009年05月,5号機,ART
シーシー,コルモ,2009年04月,5号機,ノーマル
さすがの猿飛,IGTジャパン,2009年04月,5号機,ART
もっと楽シーサー30Φ沖縄バージョン,SANKYO,2009年05月,5号機,ノーマル、30Φ
もっと楽シーサー30Φ全国バージョン,SANKYO,2009年05月,5号機,ノーマル、30Φ
もっと楽シーサー25Φ,SANKYO,2009年05月,5号機,RT
タイムリミット,JPS,2009年05月,5号機,AT、ART
Rio2クルージング・ヴァナディース,ネット,2009年04月,5号機,RT
キングガルフ2,藤興,2009年04月,5号機,ノーマル
BONJOVI,北電子,2009年06月,5号機,ノーマル
エースをねらえ!,オリンピア,2009年04月,5号機,ART
スロットニュートラッド,岡崎産業,2009年05月,5号機,RT
スーパーアロハ,パイオニア,2009年05月,5号機,ノーマル
COBRA‐THE,藤商事,2009年05月,5号機,ART、RT
シオサイV,パイオニア,2009年04月,5号機,RT
パチスロアタックNo.1「2009年」,三洋物産,2009年05月,5号機,RT
銀河豪華客船クイーンギャラクシア,オーイズミ,2009年06月,5号機,RT
琉球王朝30,オルカ,2009年05月,5号機,ノーマル、30Φ
ゲットザランカー,アリストクラートテクノロジーズ,2009年06月,5号機,ART
緑ドン,エレコ,2009年05月,5号機,ART
デュエルドラゴンキングダム,エレコ,2009年05月,5号機,ART
アイムマジックX,パラジェーピー,2009年04月,5号機,ノーマル
琉球浪漫30,タイヨー,2009年05月,5号機,ノーマル、30Φ
天誅,ニューギン,2009年06月,5号機,RT
ニューパルサー3,山佐,2009年05月,5号機,ノーマル
レキオ2‐30,山佐,2009年05月,5号機,ノーマル、30Φ
琉球浪漫25,タイヨー,2009年05月,5号機,ノーマル
ヴァンパイア,エンターライズ,2009年07月,5号機,ART
七色未来,SNKプレイモア,2009年07月,5号機,RT
スーパーセブン,パイオニア,2009年07月,5号機,RT
エマニエル,マツヤ商会,2009年06月,5号機,ノーマル
パチスロ「機動戦士ガンダムIII～めぐりあい宇宙編～」,山佐,2009年07月,5号機,ART
サタデーナイトフィーバー,ビスティ,2009年06月,5号機,ART
大奥浪漫,ラスター,2009年06月,5号機,RT
パチスロうる星やつら2,サミー,2009年06月,5号機,ノーマル
ドキッと!ビキニパイ,ネット,2009年07月,5号機,RT
ハイアップマシンガンバージョン,タイヨー,2009年07月,5号機,ART
絶対衝激,アリストクラートテクノロジーズ,2009年07月,5号機,ART
パチスロ天外魔境,三洋物産,2009年08月,5号機,ART
アイムジャグラーSP,北電子,2009年07月,5号機,ノーマル
ワイルドドッグ,パラジェーピー,2009年06月,5号機,ノーマル
つばさTAKEOFF,コルモ,2009年08月,5号機,AT、ART、RT
ビガーV,エマ,2009年07月,5号機,ノーマル
真・女神転生,タイヨーエレック,2009年08月,5号機,ART
神たま～ARTやで!全員集合～,SNKプレイモア,2009年08月,5号機,ART
パチスロがんばれ!!ロボコン,サミー,2009年08月,5号機,ART
2027II「2009年」,JPS,2009年08月,5号機,ART
サンサンハナハナ30,パイオニア,2009年08月,5号機,ノーマル、30Φ
パチスロめぞん一刻～あなたに会えて、本当によかった～,オリンピア,2009年08月,5号機,ART
シークレットプリンセス,IGTジャパン,2009年09月,5号機,AT、ART
侍ジャイアンツ2,ニューギン,2009年08月,5号機,RT
デコトラの鷲,大都技研,2009年09月,5号機,ART
イケイケめんそーれ30,エマ,2009年09月,5号機,ノーマル、30Φ
スーパーアイムマジックEX,パラジェーピー,2009年09月,5号機,ノーマル
リノNo.5,山佐,2009年09月,5号機,ノーマル
パチスロ交響詩篇エウレカセブン,サミー,2009年09月,5号機,ART
銀河英雄伝説,ミズホ,2009年09月,5号機,AT、ART
スターフルーツプレミアム,ニュー・モンキー,2009年08月,5号機,ノーマル
球児2,SNKプレイモア,2009年10月,5号機,RT
スモモチャン,ニューギン,2009年10月,5号機,ノーマル
KODA KUMI PACHISLOT LIVE IN HALLII,SANKYO,2009年10月,5号機,RT
ハイパールーレット,ネイチャー・アセスメント,2009年10月,5号機,RT
パチスロ遠山の金さん,Daiichi,2009年10月,5号機,AT、ART
青ドン～花火の極～,エレコ,2009年10月,5号機,RT
青ドン～花火の匠～,エレコ,2009年11月,5号機,RT
ドリームJラッシュ,ラスター,2009年09月,5号機,ART
GS美神極楽大作戦!!,アビリット,2009年10月,5号機,RT
ときめきメモリアル,KPE,2009年11月,5号機,ART
マジックスパイス,岡崎産業,2009年10月,5号機,ART
スーパービンゴSP3,ベルコ,2009年11月,5号機,ART
どんまい!!ちゅ～吉,JPS,2009年11月,5号機,ART
パチスロ エイリアンVSプレデター,藤商事,2009年10月,5号機,AT、ART
ベルサイユのばら,タイヨーエレック,2009年10月,5号機,ノーマル
噴火でDON!,トリビー,2009年10月,5号機,ノーマル
ダブルアタック,オーイズミ,2009年10月,5号機,ART
タイムレスキューS,山佐,2009年11月,5号機,ノーマル
タイムレスキュー777,山佐,2009年10月,5号機,RT
Rio2プレミアム,ネット,2009年11月,5号機,ART
島唄,オリンピア,2009年11月,5号機,ART
哲也 新宿VS上野,アリストクラートテクノロジーズ,2009年12月,5号機,ART
ゴールデンベルE,ベルコ,2009年10月,5号機,ノーマル
剣豪,DAXEL,2009年11月,5号機,RT
サラマンダー,ビーム,2009年11月,5号機,ノーマル
アイアムコニシキ,オリンピア,2009年11月,5号機,ART
パチスロリッジレーサー2,ニイガタ電子精機,2009年12月,5号機,ノーマル
炎の熱血教師～清原、健介、北斗編～,ロデオ,2009年12月,5号機,ART
ニュートリプルクラウン30,清龍ゲームジャパン,2010年01月,5号機,ノーマル、30Φ
マジカルハロウィン2,KPE,2010年01月,5号機,ART
ネオン物語,中京遊技,2009年11月,5号機,RT
夢幻の如く,IGTジャパン,2010年01月,5号機,ART
ワンバー1A-30「2009年」,ベルコ,2009年11月,5号機,ART
爆走列島,SNKプレイモア,2009年12月,5号機,ART
パチスロ機動戦艦ナデシコ,SANKYO,2010年01月,5号機,RT
ファイヤービーク,コルモ,2010年01月,5号機,ART
一騎当千2Brilliant,タイヨー,2009年12月,5号機,RT
鴉‐KARAS‐,アビリット,2010年02月,5号機,RT
パチスロスーパー海物語,三洋物産,2010年02月,5号機,ノーマル
パチスロあしたのジョー,サミー,2010年01月,5号機,ART
元祖!大江戸桜吹雪,平和,2010年01月,5号機,ART
ビューティフルジョー,エンターライズ,2010年02月,5号機,ART
バジリスク 甲賀忍法帳,ミズホ,2009年12月,5号機,ART
ピカ吾郎V2,山佐,2010年02月,5号機,ノーマル
島唄RXH-30,オリンピア,2010年01月,5号機,ART、30Φ
バイオレントゾーン,JPS,2010年02月,5号機,ART
BLOOD+,タイヨーエレック,2010年02月,5号機,ART
ゼットゴールドEX,ネット,2010年02月,5号機,ノーマル
列強伝,ラスター,2010年02月,5号機,RT
ハイハイ30,パイオニア,2010年02月,5号機,ノーマル、30Φ
新世紀エヴァンゲリオン～魂の軌跡～,ビスティ,2010年02月,5号機,RT
アフロのモンチ,SNKプレイモア,2010年02月,5号機,ノーマル
みどりのマキバオー「2010年」,平和,2010年02月,5号機,ART
まことちゃん,ヤーマ,2010年03月,5号機,ART、30Φ
スパイガール,KPE,2010年04月,5号機,ART
パチスロひぐらしのなく頃に祭「2010年」,オーイズミ,2010年04月,5号機,RT
パチスロ「宇宙戦艦ヤマト」,山佐,2010年04月,5号機,ART
真田純勇士,ニューギン,2010年02月,5号機,RT
麻雀王利一,タイヨー,2010年03月,5号機,ART
シオサー30,パイオニア,2010年01月,5号機,RT、30Φ
哲也 新宿VS上野DX,アリストクラートテクノロジーズ,2010年02月,5号機,ART
パチスロ ポパイブリッド,サミー,2010年03月,5号機,ART
ノーマルだよ!サブちゃん,オリンピア,2010年03月,5号機,ノーマル
続・お見事!サブちゃん,オリンピア,2010年03月,5号機,ART
満福箱,ラスター,2010年03月,5号機,ノーマル
ハッピージャグラーV,北電子,2010年04月,5号機,ノーマル
シンハッケンデン,コルモ,2010年04月,5号機,ART
2027IINEO「2010年」,JPS,2010年04月,5号機,ART
スーパーマジカルセブン,トリビー,2010年04月,5号機,AT、ART
皆伝丸,アリストクラートテクノロジーズ,2010年04月,5号機,ART
新鬼武者「2010年」,ロデオ,2010年03月,5号機,ART
デジスロA,ベルコ,2010年04月,5号機,ノーマル
鮪伝説,大都技研,2010年03月,5号機,ART
パチスロリッジレーサー447,ニイガタ電子精機,2010年03月,5号機,ノーマル
ファニーサンタ2,タイヨー,2010年04月,5号機,ノーマル
ニューペガサスブラック,エマ,2010年04月,5号機,ノーマル
パチスロ蒼天の拳,サミー,2010年05月,5号機,ART
ヘルズゲート,バルテック,2010年05月,5号機,ART
ゴッドハンターV,SANKYO,2010年06月,5号機,ART
バタフライ,デンケン販売,2010年03月,5号機,ノーマル
メタルスラッグSV‐001,SNKプレイモア,2010年06月,5号機,ART
南国育ちスペシャル,オリンピア,2010年06月,5号機,ART
押忍!操,大都技研,2010年05月,5号機,ART
ガメラZS,ロデオ,2010年06月,5号機,RT
サンサンオアシス,パイオニア,2010年06月,5号機,ノーマル
コウヘイ最凶伝～地獄の閻魔覚醒の刻～,コナミアミューズメント,2010年06月,5号機,ART
南国育ちスペシャル30,オリンピア,2010年06月,5号機,ART、30Φ
ニューパルサーV2,山佐,2010年06月,5号機,ノーマル
SLOTとんでも戦士ムテキング,ミズホ,2010年05月,5号機,AT、ART
科学忍者隊ガッチャマンGR,岡崎産業,2010年07月,5号機,ART
悪魔城ドラキュラII,KPE,2010年05月,5号機,ART、RT
コード・ルージュ,ネット,2010年06月,5号機,ART
マジックライアン,ネイチャー・アセスメント,2010年06月,5号機,ノーマル
戦国物語,ニューギン,2010年06月,5号機,ノーマル
アニマルPB,オルカ,2010年05月,5号機,ノーマル
恐怖新聞～第二章～,アリストクラートテクノロジーズ,2010年06月,5号機,ART
お座敷の茶々,バルテック,2010年07月,5号機,ART
トップをねらえ2!,平和,2010年06月,5号機,ART
幕末浪漫 月華の剣士外伝～あかりと七つの妖珠～,SNKプレイモア,2010年07月,5号機,ノーマル
アイムラッキーパレード,タイヨー,2010年06月,5号機,ノーマル
パチスロ ゴルゴ13～あの男に連絡だ～,オリンピア,2010年07月,5号機,ART
クリエーターMKII‐30,北電子,2010年12月,5号機,ノーマル、30Φ
リングにかけろ1～黄金の日本Jr.編～,タイヨーエレック,2010年09月,5号機,ART
マックスノトリプルクラウンWII‐30,ウィザード,2010年11月,5号機,ノーマル、30Φ
ティーダ2‐30,山佐,2010年08月,5号機,ノーマル、30Φ
ギラギラ爺サマー,大都技研,2010年07月,5号機,ART
アリカの華麗なる空中ブランコ,SNKプレイモア,2010年06月,5号機,ART
ワイルドキャッツ,ラスター,2010年08月,5号機,ART
トリプルC‐30,トロージャン,2010年07月,5号機,ノーマル、30Φ
デビルマンII‐悪魔復活‐,エレコ,2010年08月,5号機,ART
極楽パロディウス,KPE,2010年09月,5号機,ART
アベノ橋魔法商店街,ビスティ,2010年08月,5号機,ART
パチスロスパイダーマン3,サミー,2010年08月,5号機,ART
沖楽,アイウィル,2010年09月,5号機,ノーマル
デルタトリガー,ニューギン,2010年08月,5号機,ART
ルパン三世～ルパン一族の秘宝～,平和,2010年08月,5号機,ART
パチスロピンポン,三洋物産,2010年09月,5号機,ART
パチスロ「ケロット」～スウィートVer.～,山佐,2010年09月,5号機,ノーマル
マイジャグラー,北電子,2010年09月,5号機,ノーマル
茉莉花の剣,ネット,2010年09月,5号機,ART
ロケットパニック,JPS,2010年09月,5号機,ART
極お父さん～舞い降りた天使???～,SNKプレイモア,2010年09月,5号機,ART
出番だ!葉月ちゃん,エレコ,2010年09月,5号機,RT
マッハGoGoGo3,アリストクラートテクノロジーズ,2010年09月,5号機,ART
ビッグシオV「2010年」,パイオニア,2010年09月,5号機,ART
ハナノマイ‐30,パイオニア,2010年08月,5号機,ノーマル、30Φ
天空のシンフォニア,コルモ,2010年09月,5号機,ART
ワニワニパニック～キミのハートをワニづかみ～,Daiichi,2010年09月,5号機,ノーマル
舞‐HiME,岡崎産業,2010年10月,5号機,RT
009‐1,オーイズミ,2011年01月,5号機,ART
ジャイアン～情熱のタイ編～,ラスター,2010年10月,5号機,ART
ニューパルサーV2～ブラックVer.～,山佐,2010年11月,5号機,ノーマル
パチスロ超時空要塞マクロス,SANKYO,2010年11月,5号機,ART
サイボーグ009～地上より永遠に～,コナミアミューズメント,2010年11月,5号機,ART
緑ドンVIVA!情熱南米編,エレコ,2010年12月,5号機,ART
極楽パロディウスA,KPE,2010年10月,5号機,ノーマル
エニィバー,ヤーマ,2010年11月,5号機,RT
エニィバー30,ヤーマ,2010年11月,5号機,RT、30Φ
捕物帳,ベルコ,2010年11月,5号機,ART
アントニオ猪木が元気にするパチスロ機,オリンピア,2010年11月,5号機,ART
月面兎兵器ミーナ,スパイキー,2010年11月,5号機,ART
パチスロ戦国無双～猛将伝～,山佐,2010年11月,5号機,ART
俺の空～蒼き正義魂～,ロデオ,2010年11月,5号機,ART
エピソードドライブ,ニューギン,2010年11月,5号機,RT
スペシャルハナハナII‐30,パイオニア,2010年12月,5号機,ノーマル、30Φ
幻想水滸伝,KPE,2011年01月,5号機,ART
走れメロス,JPS,2010年12月,5号機,ART
ハーレムエース2,ネット,2011年01月,5号機,RT
サクラ大戦3,サミー,2011年01月,5号機,ART
ロンゴロンゴ,アリストクラートテクノロジーズ,2010年12月,5号機,ART
リーチジャック,ヤーマ,2010年08月,5号機,ノーマル
シスタークエスト2～魔剣の騎士と白銀の巫女～,SNKプレイモア,2011年01月,5号機,ノーマル
スーパーコケコケ,ラスター,2010年12月,5号機,ノーマル
NEOイミソーレ‐30,エマ,2011年02月,5号機,ノーマル、30Φ
頑固一徹,アリストクラートテクノロジーズ,2011年02月,5号機,ノーマル
パチスロスーパー海物語IN沖縄,三洋物産,2011年02月,5号機,ノーマル
あっぱれ剣士道,タイヨーエレック,2011年01月,5号機,RT
サムライチャンプルー極,ニューギン,2011年01月,5号機,ART
秘宝伝～封じられた女神～,大都技研,2011年02月,5号機,ART
燃えよ!功夫大戦,山佐,2011年01月,5号機,ART
凄忍,ユニバーサルエンターテインメント,2011年01月,5号機,ART
超重神グラヴィオン,ロデオ,2011年01月,5号機,ART
じゃりン子チエ,バルテック,2011年01月,5号機,ART
キャプテンハーロックG,SANKYO,2011年01月,5号機,ART
一騎当千BB,タイヨー,2011年02月,5号機,ART
楽々温泉記,アイウィル,2011年02月,5号機,ノーマル
幕末維新龍馬烈伝,DAXEL,2011年02月,5号機,ART
パチスロ真・三國無双,オリンピア,2011年02月,5号機,ART
パチスロ 創聖のアクエリオン,SANKYO,2011年03月,5号機,ART
テンションブースター,北電子,2011年03月,5号機,RT
アイムジャグラーAPEX,北電子,2011年03月,5号機,ノーマル
パチスロ「モンキーターン」,山佐,2011年03月,5号機,ART
戦国BASARA2,エンターライズ,2011年02月,5号機,ART
残機尽きるまで私は戦う,トリビー,2011年03月,5号機,ART
GETだ!BILLY,エレコ,2011年03月,5号機,ノーマル
BREAKER,ラスター,2011年02月,5号機,ノーマル
シオサイマックス‐30,パイオニア,2011年02月,5号機,ノーマル、30Φ
モバスロ ヱヴァンゲリヲン～真実の翼～,ビスティ,2011年03月,5号機,RT
パチスロ装甲騎兵ボトムズ,サミー,2011年03月,5号機,ART
パチスロろくでなしBLUES,サミー,2011年02月,5号機,RT
パチスロスーパー海物語IN沖縄30KD,三洋物産,2011年02月,5号機,ノーマル、30Φ
パチスロ鉄拳伝タフ 2nd ROUND,オリンピア,2011年04月,5号機,ART
神たま2,SNKプレイモア,2011年03月,5号機,ART
マジカルハロウィン3,KPE,2011年09月,5号機,ART
G‐SPIN,ユニバーサルエンターテインメント,2011年03月,5号機,ART
ハネスロ リラックマ,オーイズミ,2011年05月,5号機,RT
パチスロ「ぼのぼの」～スウィートver.～,山佐,2011年03月,5号機,RT
ココナナ,ネット,2011年04月,5号機,ART
天下布武2,山佐,2011年04月,5号機,ART
スターマン,SANKO,2011年06月,5号機,RT
レッツドラゴーン,SANKO,2011年06月,5号機,ノーマル
不死鳥 沖圭一郎,エマ,2011年03月,5号機,ノーマル
ドルマッチ,JPS,2011年04月,5号機,ART
ダイナミックサンダーV,エレコ,2011年05月,5号機,RT
VIP ～いただきプロジェクト～,SNKプレイモア,2011年03月,5号機,ART
キングハイビ‐30,パイオニア,2011年06月,5号機,ノーマル
ドラゴノーツ～ザ・レゾナンス～,オリンピア,2011年05月,5号機,ART
雀龍桜花,KPE,2011年05月,5号機,ART
メーメーパラダイス,ラスター,2011年04月,5号機,ノーマル
バリスタゴルフ,アイウィル,2011年05月,5号機,ART
ドラゴンギャル～ルーと伝説の黄金龍～,SNKプレイモア,2011年05月,5号機,ART
サムライ7,ビスティ,2011年05月,5号機,ART
パチスロ 笑ゥせぇるすまん,三洋物産,2011年06月,5号機,ART
蝶々乱舞,オリンピア,2011年06月,5号機,ART
ハネスロ林家一家,オーイズミ,2011年06月,5号機,ART
リオスパ,ネット,2011年06月,5号機,ノーマル
不死鳥 沖圭一郎-30,エマ,2011年03月,5号機,ノーマル、30Φ
プロゴルファー猿,スパイキー,2011年06月,5号機,ART
パチスロエイリヤンビギンズ,サミー,2011年05月,5号機,RT
大逆転,ラスター,2011年06月,5号機,ART
センゴク回胴記,ニューギン,2011年06月,5号機,ART
竜馬翔ける,岡崎産業,2011年07月,5号機,ART
鬼浜外伝 ハヤト疾風伝,コナミアミューズメント,2011年06月,5号機,ART
ミリオンゴッド～神々の系譜～,ミズホ,2011年07月,5号機,ART
サイバードラゴン2,山佐,2011年06月,5号機,ART
トリプルチャンス‐30,ウィザード,2011年07月,5号機,ノーマル、30Φ
スカイラブ3,SNKプレイモア,2011年06月,5号機,ART
ミルキーマーチ,パイオニア,2011年07月,5号機,ノーマル
グラディウス ザ・スロット,KPE,2011年07月,5号機,ART
ぱちすろ黄門ちゃま ～光れ!正義の印籠編!～,オリンピア,2011年07月,5号機,ART
銀と金,タイヨーエレック,2011年08月,5号機,ART
アニマル,ラスター,2011年07月,5号機,ART
ビッグフォーU,ベルコ,2011年07月,5号機,ノーマル
ビッグフォーU‐30,ベルコ,2011年07月,5号機,ノーマル、30Φ
トリプルクラウン25Φ,清龍ゲームジャパン,2011年07月,5号機,ノーマル
ペガサスNEO,エマ,2011年07月,5号機,ノーマル
パチスロ「ウルトラセブン」,山佐,2011年08月,5号機,ART
旋風の用心棒,ロデオ,2011年07月,5号機,ART
政宗,大都技研,2011年08月,5号機,ART
夢夢ワールドDXII,SANKYO,2011年09月,5号機,ART
探偵物語TURBO,オリンピア,2011年09月,5号機,ART
未来少年コナン,ニューギン,2011年09月,5号機,ART
激シーサー,ネット,2011年09月,5号機,ART
マジカルスロット 魔法少女隊アルス,藤商事,2011年09月,5号機,ART
デルピエロ,オーイズミ,2011年09月,5号機,ART
エージェント・クライシス,エレコ,2011年09月,5号機,AT、ART
ウイングマン,オリンピア,2011年09月,5号機,ART
キングハナハナ‐30「2011年」,パイオニア,2011年10月,5号機,ノーマル
REVO,スター,2011年10月,5号機,ノーマル
サムライスピリッツ鬼,SNKプレイモア,2011年10月,5号機,ART
X JAPAN・強行突破,SANKYO,2011年10月,5号機,ART
パチスロ快盗天使ツインエンジェル3,サミー,2011年09月,5号機,RT
パチスロ「ケロット2」,山佐,2011年10月,5号機,ノーマル
バツ&テリー,バルテック,2011年10月,5号機,ART
デートライン銀河3,ラスター,2011年09月,5号機,ART
押忍!番長2,大都技研,2011年10月,5号機,ART
必勝金閣寺物語～古都絢爛～,アビリット,2011年11月,5号機,ART
ラーゼフォン,ロデオ,2011年10月,5号機,ART
がんばれゴエモン2,KPE,2011年11月,5号機,ART
キャッツ・アイ,オリンピア,2011年11月,5号機,ART
赤ドン雅,エレコ,2011年11月,5号機,ART
ミラクルジャグラーK,北電子,2011年11月,5号機,ノーマル
浮浪雲,北電子,2011年11月,5号機,RT
パチスロ北斗の拳 世紀末救世主伝説,サミー,2011年11月,5号機,ART
クロスバレット,ニューギン,2011年11月,5号機,ART
アゲパラ,SANKO,2011年11月,5号機,RT
ストリートファイターIV,エンターライズ,2011年11月,5号機,ART
巨人の星V,アリストクラートテクノロジーズ,2011年11月,5号機,ART
パチスロ「黒ひげ危機一発」,山佐,2011年11月,5号機,ART
PiaキャロットへようこそG.O.,タイヨー,2011年12月,5号機,ART
不二子～100億$の女神～,オリンピア,2012年01月,5号機,RT
クイーンジャック,岡崎産業,2011年11月,5号機,ノーマル
クイーンジャック‐30,岡崎産業,2011年11月,5号機,ノーマル
悪魔城ドラキュラIII,KPE,2012年01月,5号機,ART
トリプルチャンスV‐30,ウィザード,2011年12月,5号機,ノーマル、30Φ
ハイパー娘,SNKプレイモア,2011年12月,5号機,ART
パチスロ鉄拳2nd,山佐,2012年01月,5号機,ART
コンチネンタルV,メーシー,2012年02月,5号機,ART
ぷよぷよ!M,タイヨーエレック,2011年12月,5号機,ART
ブラックラグーン,スパイキー,2012年02月,5号機,ART
パチスロ サクラ大戦3～LOOP Ver.～,サミー,2012年01月,5号機,ART
ToHeart2,タイヨーエレック,2012年02月,5号機,ART
チェリーパラダイス,ソフィア,2012年02月,5号機,ノーマル
世界で叩け!モグモグ風林火山,ネット,2012年02月,5号機,ART
ヱヴァンゲリヲン～生命の鼓動～,ビスティ,2012年02月,5号機,RT
パチスロ ミッションインポッシブル,D-light,2012年02月,5号機,ART
新・ドロンジョにおまかせ,オリンピア,2012年02月,5号機,ART
天誅～Deadly,ニューギン,2012年03月,5号機,ART
シスタークエスト3～黄金の大地と東の勇者～,SNKプレイモア,2012年03月,5号機,ART
夜勤病棟,JIN,2012年02月,5号機,RT
女番長,TAKASAGO,2012年03月,5号機,ART
パチスロ「銀河鉄道999」,山佐,2012年03月,5号機,ART
ニューアイムジャグラーEX,北電子,2012年03月,5号機,ノーマル
パチスロ「モンスターハンター」,ロデオ,2012年03月,5号機,ART
チャレンジマンA,岡崎産業,2012年03月,5号機,ART
フルメタル・パニック!TSR,タイヨーエレック,2012年04月,5号機,ART
一騎当千3,タイヨー,2012年04月,5号機,ART
パチスロ クイーズブレイド流浪の剣士,JPS,2012年04月,5号機,RT
パチスロ マクロスフロンティア,SANKYO,2012年04月,5号機,ART
パチスロ コードギアス反逆のルルーシュ,サミー,2012年05月,5号機,ART
ねぇ～ねぇ～島娘,オリンピア,2012年04月,5号機,ART
真田純勇士すぺしゃる,ニューギン,2012年05月,5号機,ART
トリプルクラウンZERO‐30,清龍ゲームジャパン,2012年04月,5号機,ノーマル、30Φ
